id,uri,data,dataHoraRegistro,siglaOrgao,uriOrgao,uriEvento,proposicaoObjeto,uriProposicaoObjeto,descricao,aprovacao
2336439-37,https://dadosabertos.camara.leg.br/api/v2/votacoes/2336439-37,2023-03-01,2023-03-01T19:46:54,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/67134,,,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",1.0
2336439-38,https://dadosabertos.camara.leg.br/api/v2/votacoes/2336439-38,2023-03-01,2023-03-01T19:47:02,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/67134,,,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",1.0
2336439-42,https://dadosabertos.camara.leg.br/api/v2/votacoes/2336439-42,2023-03-01,2023-03-01T19:52:46,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/67134,,,"Aprovada a Medida Provisória nº 1.139 de 2022, na forma do Projeto de Lei de Conversão.",1.0
2336439-44,https://dadosabertos.camara.leg.br/api/v2/votacoes/2336439-44,2023-03-01,2023-03-01T19:54:07,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/67134,,,"Aprovada a Redação Final assinada pelo relator, Dep. Yury do Paredão (PL-CE).",1.0
2283555-64,https://dadosabertos.camara.leg.br/api/v2/votacoes/2283555-64,2023-03-02,2023-03-02T11:56:05,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/67169,,,"Aprovado o Substitutivo ao Projeto de Lei nº 1.883, de 2021, adotado pela relatora da Comissão de Finanças e Tributação.",1.0
2283555-67,https://dadosabertos.camara.leg.br/api/v2/votacoes/2283555-67,2023-03-02,2023-03-02T11:57:26,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/67169,,,Aprovada a Redação Final assinada pela relatora Dep. Luisa Canziani (PSD-PR).,1.0
2349625-3,https://dadosabertos.camara.leg.br/api/v2/votacoes/2349625-3,2023-03-07,2023-03-07T15:10:27,GTSTN,https://dadosabertos.camara.leg.br/api/v2/orgaos/539409,https://dadosabertos.camara.leg.br/api/v2/eventos/67186,REQ 1/2023 GTSTN,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349625,Aprovado.,1.0
2349639-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2349639-2,2023-03-07,2023-03-07T15:14:29,GTSTN,https://dadosabertos.camara.leg.br/api/v2/orgaos/539409,https://dadosabertos.camara.leg.br/api/v2/eventos/67186,REQ 2/2023 GTSTN,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349639,Aprovado o Requerimento com aditamento.,1.0
2349648-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2349648-2,2023-03-07,2023-03-07T15:16:40,GTSTN,https://dadosabertos.camara.leg.br/api/v2/orgaos/539409,https://dadosabertos.camara.leg.br/api/v2/eventos/67186,REQ 3/2023 GTSTN,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349648,Aprovado.,1.0
2349733-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2349733-2,2023-03-07,2023-03-07T15:21:23,GTSTN,https://dadosabertos.camara.leg.br/api/v2/orgaos/539409,https://dadosabertos.camara.leg.br/api/v2/eventos/67186,REQ 4/2023 GTSTN,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349733,Aprovado.,1.0
2349735-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2349735-2,2023-03-07,2023-03-07T15:22:40,GTSTN,https://dadosabertos.camara.leg.br/api/v2/orgaos/539409,https://dadosabertos.camara.leg.br/api/v2/eventos/67186,REQ 5/2023 GTSTN,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349735,Aprovado.,1.0
2349737-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2349737-2,2023-03-07,2023-03-07T15:29:57,GTSTN,https://dadosabertos.camara.leg.br/api/v2/orgaos/539409,https://dadosabertos.camara.leg.br/api/v2/eventos/67186,REQ 6/2023 GTSTN,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349737,Aprovado o Requerimento com aditamento.,1.0
2350065-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2350065-2,2023-03-07,2023-03-07T15:31:09,GTSTN,https://dadosabertos.camara.leg.br/api/v2/orgaos/539409,https://dadosabertos.camara.leg.br/api/v2/eventos/67186,REQ 7/2023 GTSTN,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2350065,Aprovado.,1.0
2350066-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2350066-2,2023-03-07,2023-03-07T15:44:56,GTSTN,https://dadosabertos.camara.leg.br/api/v2/orgaos/539409,https://dadosabertos.camara.leg.br/api/v2/eventos/67186,REQ 8/2023 GTSTN,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2350066,Aprovado o Requerimento com aditamento.,1.0
2350067-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2350067-2,2023-03-07,2023-03-07T15:45:15,GTSTN,https://dadosabertos.camara.leg.br/api/v2/orgaos/539409,https://dadosabertos.camara.leg.br/api/v2/eventos/67186,REQ 9/2023 GTSTN,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2350067,Aprovado o Requerimento com aditamento.,1.0
