id,uri,data,dataHoraRegistro,siglaOrgao,uriOrgao,uriEvento,proposicaoObjeto,uriProposicaoObjeto,descricao,aprovacao
2259402-31,https://dadosabertos.camara.leg.br/api/v2/votacoes/2259402-31,2021-10-06,,CAPADR,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,,,,"Apresentação do Voto em Separado n. 1 CAPADR, pelo Deputado Evair Vieira de Melo  (PP/ES).",0.0
2259964-24,https://dadosabertos.camara.leg.br/api/v2/votacoes/2259964-24,2021-10-08,,CAPADR,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,,,,"Apresentação do Voto em Separado n. 1 CAPADR, pelo Deputado Marcelo Brum  (PSL/RS).",0.0
2166882-50,https://dadosabertos.camara.leg.br/api/v2/votacoes/2166882-50,2021-10-19,,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,,,,"Apresentação do Voto em Separado n. 1 CCJC, pelo Deputado Subtenente Gonzaga  (PDT/MG).",0.0
2285694-32,https://dadosabertos.camara.leg.br/api/v2/votacoes/2285694-32,2021-10-13,,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,,,,"Apresentação do Voto em Separado n. 1 CCJC, pela Deputada Perpétua Almeida  (PCdoB/AC).",0.0
2192746-34,https://dadosabertos.camara.leg.br/api/v2/votacoes/2192746-34,2021-10-06,,CDC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2004,,,,"Apresentação do Voto em Separado n. 1 CDC, pelo Deputado Eli Corrêa Filho  (DEM/SP).",0.0
2192901-35,https://dadosabertos.camara.leg.br/api/v2/votacoes/2192901-35,2021-10-26,,CSPCCO,https://dadosabertos.camara.leg.br/api/v2/orgaos/5503,,,,"Apresentação do Voto em Separado n. 1 CSPCCO, pelo Deputado Subtenente Gonzaga  (PDT/MG).",0.0
2197317-32,https://dadosabertos.camara.leg.br/api/v2/votacoes/2197317-32,2021-10-18,,CSPCCO,https://dadosabertos.camara.leg.br/api/v2/orgaos/5503,,,,"Apresentação do Voto em Separado n. 1 CSPCCO, pelo Deputado Subtenente Gonzaga  (PDT/MG).",0.0
2199361-47,https://dadosabertos.camara.leg.br/api/v2/votacoes/2199361-47,2021-10-19,,CSPCCO,https://dadosabertos.camara.leg.br/api/v2/orgaos/5503,,,,"Apresentação do Voto em Separado n. 1 CSPCCO, pelo Deputado Paulo Ganime  (NOVO/RJ).",0.0
2260727-30,https://dadosabertos.camara.leg.br/api/v2/votacoes/2260727-30,2021-10-29,,CSPCCO,https://dadosabertos.camara.leg.br/api/v2/orgaos/5503,,,,"Apresentação do Voto em Separado n. 1 CSPCCO, pela Deputada Major Fabiana  (PSL/RJ).",0.0
2204946-23,https://dadosabertos.camara.leg.br/api/v2/votacoes/2204946-23,2021-10-20,,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,,,,"Apresentação do Voto em Separado n. 1 CMADS, pelo Deputado Nelson Barbudo  (PSL/MT).",0.0
565397-99,https://dadosabertos.camara.leg.br/api/v2/votacoes/565397-99,2021-10-15,,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,,,,"Apresentação do Voto em Separado n. 2 CMADS, pelo Deputado Jose Mario Schreiner  (DEM/GO).",0.0
2191650-44,https://dadosabertos.camara.leg.br/api/v2/votacoes/2191650-44,2021-10-25,,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,,,,"Apresentação do Voto em Separado n. 1 CMADS, pelo Deputado Paulo Bengtson  (PTB/PA).",0.0
2297569-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2297569-2,2021-10-05,2021-10-05T09:14:57,CME,https://dadosabertos.camara.leg.br/api/v2/orgaos/2012,https://dadosabertos.camara.leg.br/api/v2/eventos/63394,REQ 88/2021 CME,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2297569,Aprovado. Subscrito pelo Deputado Airton Faleiro. Aditado para inclusão na lista de convidados de representantes  da Vibra Energia e da Copersucar S.A.,1.0
2300597-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2300597-2,2021-10-05,2021-10-05T09:20:12,CME,https://dadosabertos.camara.leg.br/api/v2/orgaos/2012,https://dadosabertos.camara.leg.br/api/v2/eventos/63394,REQ 109/2021 CME,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2300597,Aprovado.,1.0
2300600-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2300600-2,2021-10-05,2021-10-05T09:20:42,CME,https://dadosabertos.camara.leg.br/api/v2/orgaos/2012,https://dadosabertos.camara.leg.br/api/v2/eventos/63394,REQ 111/2021 CME,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2300600,Aprovado.,1.0
2300764-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2300764-2,2021-10-05,2021-10-05T09:20:57,CME,https://dadosabertos.camara.leg.br/api/v2/orgaos/2012,https://dadosabertos.camara.leg.br/api/v2/eventos/63394,REQ 112/2021 CME,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2300764,Aprovado.,1.0
2301082-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2301082-2,2021-10-05,2021-10-05T09:21:12,CME,https://dadosabertos.camara.leg.br/api/v2/orgaos/2012,https://dadosabertos.camara.leg.br/api/v2/eventos/63394,REQ 113/2021 CME,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2301082,Aprovado.,1.0
2301243-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2301243-2,2021-10-05,2021-10-05T09:23:10,CME,https://dadosabertos.camara.leg.br/api/v2/orgaos/2012,https://dadosabertos.camara.leg.br/api/v2/eventos/63394,REQ 114/2021 CME,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2301243,Aprovado.,1.0
2300826-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2300826-2,2021-10-05,2021-10-05T09:31:13,PEC02321,https://dadosabertos.camara.leg.br/api/v2/orgaos/538970,https://dadosabertos.camara.leg.br/api/v2/eventos/63461,REQ 14/2021 PEC02321,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2300826,Aprovado.,1.0
2300831-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2300831-2,2021-10-05,2021-10-05T09:31:13,PEC02321,https://dadosabertos.camara.leg.br/api/v2/orgaos/538970,https://dadosabertos.camara.leg.br/api/v2/eventos/63461,REQ 15/2021 PEC02321,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2300831,Aprovado.,1.0
2301261-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2301261-2,2021-10-05,2021-10-05T09:31:13,PEC02321,https://dadosabertos.camara.leg.br/api/v2/orgaos/538970,https://dadosabertos.camara.leg.br/api/v2/eventos/63461,REQ 17/2021 PEC02321,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2301261,Aprovado.,1.0
2301470-3,https://dadosabertos.camara.leg.br/api/v2/votacoes/2301470-3,2021-10-05,2021-10-05T10:20:42,CTRAB,https://dadosabertos.camara.leg.br/api/v2/orgaos/2015,https://dadosabertos.camara.leg.br/api/v2/eventos/63365,,,Aprovado.,1.0
2301471-3,https://dadosabertos.camara.leg.br/api/v2/votacoes/2301471-3,2021-10-05,2021-10-05T10:20:58,CTRAB,https://dadosabertos.camara.leg.br/api/v2/orgaos/2015,https://dadosabertos.camara.leg.br/api/v2/eventos/63365,,,"Aprovado, com a exclusão da convocação do Presidente do Banco Central..",1.0
2300564-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2300564-2,2021-10-05,2021-10-05T10:33:06,CTRAB,https://dadosabertos.camara.leg.br/api/v2/orgaos/2015,https://dadosabertos.camara.leg.br/api/v2/eventos/63365,REQ 111/2021 CTASP,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2300564,Aprovado.,1.0
2300797-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2300797-2,2021-10-05,2021-10-05T10:33:06,CTRAB,https://dadosabertos.camara.leg.br/api/v2/orgaos/2015,https://dadosabertos.camara.leg.br/api/v2/eventos/63365,REQ 112/2021 CTASP,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2300797,Aprovado.,1.0
