id,uri,data,dataHoraRegistro,siglaOrgao,uriOrgao,uriEvento,proposicaoObjeto,uriProposicaoObjeto,descricao,aprovacao
2346870-40,https://dadosabertos.camara.leg.br/api/v2/votacoes/2346870-40,2025-09-22,,CCTI,https://dadosabertos.camara.leg.br/api/v2/orgaos/2002,,,,"Apresentação do VTS n. 1 CCTI (Voto em Separado), pelo Deputado Vitor Lippi (PSDB/SP -Fdr PSDB-CIDADANIA).",0
2374540-48,https://dadosabertos.camara.leg.br/api/v2/votacoes/2374540-48,2025-09-29,,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,,,,"Apresentação do VTS n. 2 CCJC (Voto em Separado), pelo Deputado Hildo Rocha (MDB/MA).",0
2453444-23,https://dadosabertos.camara.leg.br/api/v2/votacoes/2453444-23,2025-09-17,,CME,https://dadosabertos.camara.leg.br/api/v2/orgaos/2012,,,,"Apresentação do VTS n. 1 CME (Voto em Separado), pelo Deputado Newton Cardoso Jr (MDB/MG).",0
2456513-26,https://dadosabertos.camara.leg.br/api/v2/votacoes/2456513-26,2025-09-23,,CME,https://dadosabertos.camara.leg.br/api/v2/orgaos/2012,,,,"Apresentação do VTS n. 1 CME (Voto em Separado), pela Deputada Duda Salabert (PDT/MG).",0
2380173-31,https://dadosabertos.camara.leg.br/api/v2/votacoes/2380173-31,2025-09-17,,CSAUDE,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,,,,"Apresentação do VTS n. 1 CSAUDE (Voto em Separado), pela Deputada Rosangela Moro (UNIÃO/SP).",0
2443991-25,https://dadosabertos.camara.leg.br/api/v2/votacoes/2443991-25,2025-09-09,,CSAUDE,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,,,,"Apresentação do VTS n. 1 CSAUDE (Voto em Separado), pela Deputada Rosangela Moro (UNIÃO/SP).",0
2214220-91,https://dadosabertos.camara.leg.br/api/v2/votacoes/2214220-91,2025-09-03,,CDC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2004,,,,"Apresentação do VTS n. 1 CDC (Voto em Separado), pelo Deputado Gilson Marques (NOVO/SC).",0
2362125-30,https://dadosabertos.camara.leg.br/api/v2/votacoes/2362125-30,2025-09-16,,CREDN,https://dadosabertos.camara.leg.br/api/v2/orgaos/2018,,,,"Apresentação do VTS n. 1 CREDN (Voto em Separado), pelo Deputado Evair Vieira de Melo (PP/ES).",0
2361903-20,https://dadosabertos.camara.leg.br/api/v2/votacoes/2361903-20,2025-09-02,,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,,,,"Apresentação do VTS n. 1 CMADS (Voto em Separado), pelo Deputado Evair Vieira de Melo (PP/ES).",0
2361903-23,https://dadosabertos.camara.leg.br/api/v2/votacoes/2361903-23,2025-09-08,,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,,,,"Apresentação do VTS n. 2 CMADS (Voto em Separado), pelo Deputado Evair Vieira de Melo (PP/ES).",0
2364117-36,https://dadosabertos.camara.leg.br/api/v2/votacoes/2364117-36,2025-09-12,,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,,,,"Apresentação do VTS n. 1 CMADS (Voto em Separado), pelo Deputado Junio Amaral (PL/MG).",0
2421311-46,https://dadosabertos.camara.leg.br/api/v2/votacoes/2421311-46,2025-09-29,,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,,,,"Apresentação do VTS n. 1 CMADS (Voto em Separado), pelo Deputado Junio Amaral (PL/MG).",0
2479278-28,https://dadosabertos.camara.leg.br/api/v2/votacoes/2479278-28,2025-09-29,,CASP,https://dadosabertos.camara.leg.br/api/v2/orgaos/539388,,,,"Apresentação do VTS n. 1 CASP (Voto em Separado), pela Deputada Sâmia Bomfim (PSOL/SP -Fdr PSOL-REDE).",0
2486144-27,https://dadosabertos.camara.leg.br/api/v2/votacoes/2486144-27,2025-09-02,2025-09-02T14:44:18,CSPCCO,https://dadosabertos.camara.leg.br/api/v2/orgaos/5503,https://dadosabertos.camara.leg.br/api/v2/eventos/78964,,,Aprovado o Parecer com voto contrário do Deputado Pastor Henrique Vieira e da Deputada Duda Salabert.,1
2551919-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2551919-2,2025-09-02,2025-09-02T14:44:26,CASP,https://dadosabertos.camara.leg.br/api/v2/orgaos/539388,https://dadosabertos.camara.leg.br/api/v2/eventos/78878,REQ 79/2025 CASP,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2551919,Aprovado o Requerimento.,1
2554801-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2554801-2,2025-09-02,2025-09-02T14:44:31,CASP,https://dadosabertos.camara.leg.br/api/v2/orgaos/539388,https://dadosabertos.camara.leg.br/api/v2/eventos/78878,REQ 80/2025 CASP,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2554801,Aprovado o Requerimento.,1
2555253-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2555253-2,2025-09-02,2025-09-02T14:44:35,CASP,https://dadosabertos.camara.leg.br/api/v2/orgaos/539388,https://dadosabertos.camara.leg.br/api/v2/eventos/78878,REQ 81/2025 CASP,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2555253,Aprovado o Requerimento.,1
2551997-3,https://dadosabertos.camara.leg.br/api/v2/votacoes/2551997-3,2025-09-02,2025-09-02T14:50:59,CICS,https://dadosabertos.camara.leg.br/api/v2/orgaos/539386,https://dadosabertos.camara.leg.br/api/v2/eventos/78871,REQ 29/2025 CICS,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2551997,Aprovado o Requerimento.,1
2552016-3,https://dadosabertos.camara.leg.br/api/v2/votacoes/2552016-3,2025-09-02,2025-09-02T14:56:51,CICS,https://dadosabertos.camara.leg.br/api/v2/orgaos/539386,https://dadosabertos.camara.leg.br/api/v2/eventos/78871,,,Aprovado o Requerimento.,1
2350829-27,https://dadosabertos.camara.leg.br/api/v2/votacoes/2350829-27,2025-09-02,2025-09-02T15:02:48,CASP,https://dadosabertos.camara.leg.br/api/v2/orgaos/539388,https://dadosabertos.camara.leg.br/api/v2/eventos/78878,,,Aprovado o Parecer.,1
2463680-32,https://dadosabertos.camara.leg.br/api/v2/votacoes/2463680-32,2025-09-02,2025-09-02T15:07:01,CICS,https://dadosabertos.camara.leg.br/api/v2/orgaos/539386,https://dadosabertos.camara.leg.br/api/v2/eventos/78871,,,Aprovado o Parecer.,1
2554961-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2554961-2,2025-09-02,2025-09-02T15:07:05,CPOVOS,https://dadosabertos.camara.leg.br/api/v2/orgaos/539384,https://dadosabertos.camara.leg.br/api/v2/eventos/78866,REQ 34/2025 CPOVOS,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2554961,Aprovado o Requerimento.,1
