id,uri,data,dataHoraRegistro,siglaOrgao,uriOrgao,uriEvento,proposicaoObjeto,uriProposicaoObjeto,descricao,aprovacao
2482491-19,https://dadosabertos.camara.leg.br/api/v2/votacoes/2482491-19,2025-07-01,2025-07-01T14:02:16,CSPCCO,https://dadosabertos.camara.leg.br/api/v2/orgaos/5503,https://dadosabertos.camara.leg.br/api/v2/eventos/77028,,,Aprovado o Parecer.,1
2472443-22,https://dadosabertos.camara.leg.br/api/v2/votacoes/2472443-22,2025-07-01,2025-07-01T14:02:51,CSPCCO,https://dadosabertos.camara.leg.br/api/v2/orgaos/5503,https://dadosabertos.camara.leg.br/api/v2/eventos/77028,,,Aprovado o Parecer.,1
2483121-25,https://dadosabertos.camara.leg.br/api/v2/votacoes/2483121-25,2025-07-01,2025-07-01T14:18:46,CSPCCO,https://dadosabertos.camara.leg.br/api/v2/orgaos/5503,https://dadosabertos.camara.leg.br/api/v2/eventos/77028,,,Aprovado o Parecer.,1
2473542-24,https://dadosabertos.camara.leg.br/api/v2/votacoes/2473542-24,2025-07-01,2025-07-01T14:20:25,CSPCCO,https://dadosabertos.camara.leg.br/api/v2/orgaos/5503,https://dadosabertos.camara.leg.br/api/v2/eventos/77028,,,Aprovado o Parecer.,1
2476916-21,https://dadosabertos.camara.leg.br/api/v2/votacoes/2476916-21,2025-07-01,2025-07-01T14:20:41,CSPCCO,https://dadosabertos.camara.leg.br/api/v2/orgaos/5503,https://dadosabertos.camara.leg.br/api/v2/eventos/77028,,,Aprovado o Parecer.,1
2473516-28,https://dadosabertos.camara.leg.br/api/v2/votacoes/2473516-28,2025-07-01,2025-07-01T14:20:52,CSPCCO,https://dadosabertos.camara.leg.br/api/v2/orgaos/5503,https://dadosabertos.camara.leg.br/api/v2/eventos/77028,,,Aprovado o Parecer.,1
2345692-37,https://dadosabertos.camara.leg.br/api/v2/votacoes/2345692-37,2025-07-01,2025-07-01T14:25:41,CSPCCO,https://dadosabertos.camara.leg.br/api/v2/orgaos/5503,https://dadosabertos.camara.leg.br/api/v2/eventos/77028,,,Rejeitado o Parecer.,0
2141480-104,https://dadosabertos.camara.leg.br/api/v2/votacoes/2141480-104,2025-07-01,2025-07-01T14:37:11,CICS,https://dadosabertos.camara.leg.br/api/v2/orgaos/539386,https://dadosabertos.camara.leg.br/api/v2/eventos/76949,,,Aprovado o Parecer.,1
2523647-3,https://dadosabertos.camara.leg.br/api/v2/votacoes/2523647-3,2025-07-01,2025-07-01T14:44:11,CICS,https://dadosabertos.camara.leg.br/api/v2/orgaos/539386,https://dadosabertos.camara.leg.br/api/v2/eventos/76949,,,"Aprovado o Requerimento, com alteração para incluir o diretor de Assuntos Legislativos da Federação Nacional das Empresas de Informática (Fenainfo), Rafael Sebben, e o diretor de Políticas Estratégicas e Legislativas da Federação Nacional das Empresas de Serviços Contábeis e das Empresas de Assessoramento, Perícias, Informações e Pesquisas (Fenacon), Diogo Chamun, a pedido da Deputada Any Ortiz.",1
2525957-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2525957-2,2025-07-01,2025-07-01T14:45:54,CICS,https://dadosabertos.camara.leg.br/api/v2/orgaos/539386,https://dadosabertos.camara.leg.br/api/v2/eventos/76949,REQ 13/2025 CICS,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2525957,Aprovado o Requerimento.,1
2525962-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2525962-2,2025-07-01,2025-07-01T14:46:03,CICS,https://dadosabertos.camara.leg.br/api/v2/orgaos/539386,https://dadosabertos.camara.leg.br/api/v2/eventos/76949,REQ 14/2025 CICS,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2525962,Aprovado o Requerimento.,1
