id,uri,data,dataHoraRegistro,siglaOrgao,uriOrgao,uriEvento,proposicaoObjeto,uriProposicaoObjeto,descricao,aprovacao
2229565-3,https://dadosabertos.camara.leg.br/api/v2/votacoes/2229565-3,2020-02-04,2020-02-04T16:59:57,CEPOLICI,https://dadosabertos.camara.leg.br/api/v2/orgaos/538686,https://dadosabertos.camara.leg.br/api/v2/eventos/59253,REQ 21/2019 CEPOLICI,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2229565,Aprovado.,1.0
2236329-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2236329-2,2020-02-04,2020-02-04T17:02:36,CEPOLICI,https://dadosabertos.camara.leg.br/api/v2/orgaos/538686,https://dadosabertos.camara.leg.br/api/v2/eventos/59253,REQ 1/2020 CEPOLICI,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236329,Aprovado.,1.0
2236478-5,https://dadosabertos.camara.leg.br/api/v2/votacoes/2236478-5,2020-02-04,2020-02-04T19:39:23,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59265,REQ 46/2020,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236478,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",1.0
2236481-5,https://dadosabertos.camara.leg.br/api/v2/votacoes/2236481-5,2020-02-04,2020-02-04T19:51:59,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59265,REQ 48/2020,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236481,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",1.0
2234561-5,https://dadosabertos.camara.leg.br/api/v2/votacoes/2234561-5,2020-02-04,2020-02-04T20:32:14,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59265,REQ 3246/2019,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2234561,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",1.0
2236289-5,https://dadosabertos.camara.leg.br/api/v2/votacoes/2236289-5,2020-02-04,2020-02-04T20:38:02,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59265,REQ 9/2020,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236289,Aprovado o Requerimento.,1.0
2236333-5,https://dadosabertos.camara.leg.br/api/v2/votacoes/2236333-5,2020-02-04,2020-02-04T20:38:03,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59265,REQ 26/2020,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236333,Aprovado o Requerimento.,1.0
2236343-34,https://dadosabertos.camara.leg.br/api/v2/votacoes/2236343-34,2020-02-04,2020-02-04T21:42:57,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59265,,,"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei 23, de 2020, adotada pela Relatora da Comissão Especial, ressalvados os destaques.",1.0
2236343-38,https://dadosabertos.camara.leg.br/api/v2/votacoes/2236343-38,2020-02-04,2020-02-04T21:55:00,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59265,,,Rejeitada a Emenda nº 9.,0.0
2236343-40,https://dadosabertos.camara.leg.br/api/v2/votacoes/2236343-40,2020-02-04,2020-02-04T21:55:43,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59265,,,"Aprovada a Redação Final assinada pela Relatora, Dep. Carmen Zanotto (CIDADANIA-SC).",1.0
2234070-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2234070-2,2020-02-05,2020-02-05T13:16:17,PEC19919,https://dadosabertos.camara.leg.br/api/v2/orgaos/538736,https://dadosabertos.camara.leg.br/api/v2/eventos/59254,REQ 18/2019 PEC19919,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2234070,Aprovado,1.0
2234104-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2234104-2,2020-02-05,2020-02-05T13:16:19,PEC19919,https://dadosabertos.camara.leg.br/api/v2/orgaos/538736,https://dadosabertos.camara.leg.br/api/v2/eventos/59254,REQ 19/2019 PEC19919,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2234104,Aprovado,1.0
2234708-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2234708-2,2020-02-05,2020-02-05T13:16:19,PEC19919,https://dadosabertos.camara.leg.br/api/v2/orgaos/538736,https://dadosabertos.camara.leg.br/api/v2/eventos/59254,REQ 20/2019 PEC19919,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2234708,Aprovado,1.0
2236364-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2236364-2,2020-02-05,2020-02-05T13:16:19,PEC19919,https://dadosabertos.camara.leg.br/api/v2/orgaos/538736,https://dadosabertos.camara.leg.br/api/v2/eventos/59254,REQ 1/2020 PEC19919,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236364,Aprovado,1.0
