id,uri,data,dataHoraRegistro,siglaOrgao,uriOrgao,uriEvento,proposicaoObjeto,uriProposicaoObjeto,descricao,aprovacao
542454-45,https://dadosabertos.camara.leg.br/api/v2/votacoes/542454-45,2022-06-06,,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,,,,"Apresentação do Voto em Separado n. 1 CCJC, pelo Deputado Valtenir Pereira  (MDB/MT).",0
2252247-73,https://dadosabertos.camara.leg.br/api/v2/votacoes/2252247-73,2022-06-15,,CDE,https://dadosabertos.camara.leg.br/api/v2/orgaos/2008,,,,"Apresentação do Voto em Separado n. 1 CDEICS, pelo Deputado Glaustin da Fokus (PSC/GO).",0
2268007-35,https://dadosabertos.camara.leg.br/api/v2/votacoes/2268007-35,2022-06-21,,CDE,https://dadosabertos.camara.leg.br/api/v2/orgaos/2008,,,,"Apresentação do Voto em Separado n. 1 CDEICS, pelo Deputado Otto Alencar Filho (PSD/BA).",0
1672577-47,https://dadosabertos.camara.leg.br/api/v2/votacoes/1672577-47,2022-06-24,,CE,https://dadosabertos.camara.leg.br/api/v2/orgaos/2009,,,,"Apresentação do Voto em Separado n. 1 CE, pelos Deputados Ivan Valente (PSOL/SP) e Glauber Braga PSOL.",0
2197250-69,https://dadosabertos.camara.leg.br/api/v2/votacoes/2197250-69,2022-06-09,,CVT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2016,,,,"Apresentação do Voto em Separado n. 1 CVT, pelo Deputado Danrlei de Deus Hinterholz  (PSD/RS).",0
2222835-28,https://dadosabertos.camara.leg.br/api/v2/votacoes/2222835-28,2022-06-07,,CVT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2016,,,,"Apresentação do Voto em Separado n. 2 CVT, pelo Deputado Hugo Leal  (PSD/RJ).",0
2252067-24,https://dadosabertos.camara.leg.br/api/v2/votacoes/2252067-24,2022-06-13,,CVT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2016,,,,"Apresentação do Voto em Separado n. 1 CVT, pelo Deputado Hugo Leal  (PSD/RJ).",0
2216164-60,https://dadosabertos.camara.leg.br/api/v2/votacoes/2216164-60,2022-06-20,,CSPCCO,https://dadosabertos.camara.leg.br/api/v2/orgaos/5503,,,,"Apresentação do Voto em Separado n. 1 CSPCCO, pela Deputada Major Fabiana (PL/RJ).",0
2175977-46,https://dadosabertos.camara.leg.br/api/v2/votacoes/2175977-46,2022-06-07,,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,,,,"Apresentação do Voto em Separado n. 2 CMADS, pelo Deputado Nelson Barbudo  (PL/MT).",0
2078898-82,https://dadosabertos.camara.leg.br/api/v2/votacoes/2078898-82,2022-06-09,,CMULHER,https://dadosabertos.camara.leg.br/api/v2/orgaos/537870,,,,"Apresentação do Voto em Separado n. 1 CMULHER, pelo Deputado Diego Garcia  (REPUBLIC/PR).",0
2291805-34,https://dadosabertos.camara.leg.br/api/v2/votacoes/2291805-34,2022-06-23,,CMULHER,https://dadosabertos.camara.leg.br/api/v2/orgaos/537870,,,,"Apresentação do Voto em Separado n. 1 CMULHER, pelo Deputado Diego Garcia (REPUBLIC/PR).",0
2291993-21,https://dadosabertos.camara.leg.br/api/v2/votacoes/2291993-21,2022-06-29,,CMULHER,https://dadosabertos.camara.leg.br/api/v2/orgaos/537870,,,,"Apresentação do Voto em Separado n. 1 CMULHER, pela Deputada Chris Tonietto (PL/RJ).",0
