id,uri,data,dataHoraRegistro,siglaOrgao,uriOrgao,uriEvento,proposicaoObjeto,uriProposicaoObjeto,descricao,aprovacao
2271161-68,https://dadosabertos.camara.leg.br/api/v2/votacoes/2271161-68,2021-12-15,,CAPADR,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,,,,"Apresentação do Voto em Separado n. 1 CAPADR, pelo Deputado Pedro Uczai  (PT/SC).",0
2287512-97,https://dadosabertos.camara.leg.br/api/v2/votacoes/2287512-97,2021-12-16,,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,,,,"Apresentação do Voto em Separado n. 1 CCJC, pelo Deputado Paulo Teixeira  (PT/SP) e outros.",0
2293703-43,https://dadosabertos.camara.leg.br/api/v2/votacoes/2293703-43,2021-12-07,,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,,,,"Apresentação do Voto em Separado n. 1 CCJC, pela Deputada Fernanda Melchionna  (PSOL/RS) e outros.",0
2253448-24,https://dadosabertos.camara.leg.br/api/v2/votacoes/2253448-24,2021-12-14,,CDHMIR,https://dadosabertos.camara.leg.br/api/v2/orgaos/2007,,,,"Apresentação do Voto em Separado n. 1 CDHM, pelo Deputado Eli Borges  (SOLIDARI/TO).",0
318352-200,https://dadosabertos.camara.leg.br/api/v2/votacoes/318352-200,2021-12-14,,CDE,https://dadosabertos.camara.leg.br/api/v2/orgaos/2008,,,,"Apresentação do Voto em Separado n. 1 CDEICS, pelo Deputado Eli Corrêa Filho  (DEM/SP).",0
2271960-34,https://dadosabertos.camara.leg.br/api/v2/votacoes/2271960-34,2021-12-13,,CDE,https://dadosabertos.camara.leg.br/api/v2/orgaos/2008,,,,"Apresentação do Voto em Separado n. 2 CDEICS, pelo Deputado Alexis Fonteyne  (NOVO/SP).",0
426002-131,https://dadosabertos.camara.leg.br/api/v2/votacoes/426002-131,2021-12-01,,CSAUDE,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,,,,"Apresentação do Voto em Separado n. 3 CSSF, pelo Deputado Felício Laterça  (PSL/RJ).",0
2171956-55,https://dadosabertos.camara.leg.br/api/v2/votacoes/2171956-55,2021-12-15,,CSAUDE,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,,,,"Apresentação do Voto em Separado n. 1 CSSF, pela Deputada Vivi Reis (PSOL/PA).",0
2188303-41,https://dadosabertos.camara.leg.br/api/v2/votacoes/2188303-41,2021-12-14,,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,,,,"Apresentação do Voto em Separado n. 1 CMADS, pelo Deputado Coronel Chrisóstomo  (PSL/RO).",0
2190986-21,https://dadosabertos.camara.leg.br/api/v2/votacoes/2190986-21,2021-12-06,,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,,,,"Apresentação do Voto em Separado n. 1 CMADS, pelo Deputado Nelson Barbudo  (PSL/MT).",0
2203014-21,https://dadosabertos.camara.leg.br/api/v2/votacoes/2203014-21,2021-12-13,,CCULT,https://dadosabertos.camara.leg.br/api/v2/orgaos/536996,,,,"Apresentação do Voto em Separado n. 1 CCULT, pela Deputada Alê Silva  (PSL/MG).",0
2229938-106,https://dadosabertos.camara.leg.br/api/v2/votacoes/2229938-106,2021-12-07,,PEC19919,https://dadosabertos.camara.leg.br/api/v2/orgaos/538736,,,,"Apresentação do Voto em Separado n. 1 PEC19919, pelo Deputado Kim Kataguiri  (DEM/SP).",0
