id,uri,data,dataHoraRegistro,siglaOrgao,uriOrgao,uriEvento,proposicaoObjeto,uriProposicaoObjeto,descricao,aprovacao
2244243-105,https://dadosabertos.camara.leg.br/api/v2/votacoes/2244243-105,2020-08-04,2020-08-04T15:45:41,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59819,,,Aprovado o Requerimento. Sim: 294; não: 148; abstenção: 1; total: 443.,1.0
2253431-33,https://dadosabertos.camara.leg.br/api/v2/votacoes/2253431-33,2020-08-04,2020-08-04T17:41:38,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59819,,,Rejeitado o Requerimento. Sim: 12; não: 412; total: 424.,0.0
2253431-36,https://dadosabertos.camara.leg.br/api/v2/votacoes/2253431-36,2020-08-04,2020-08-04T17:55:01,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59819,,,Rejeitado o Destaque.,0.0
2253431-38,https://dadosabertos.camara.leg.br/api/v2/votacoes/2253431-38,2020-08-04,2020-08-04T17:55:39,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59819,,,"Aprovado o Substitutivo ao Projeto de Lei nº 2.810, de 2020, adotado pelo Relator da Comissão de Constituição e Justiça e de Cidadania.",1.0
2253431-40,https://dadosabertos.camara.leg.br/api/v2/votacoes/2253431-40,2020-08-04,2020-08-04T17:56:17,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59819,,,"Aprovada a Redação Final assinada pelo Relator, Dep. Lafayette de Andrada (REPUBLICANOS-MG).",1.0
2257685-7,https://dadosabertos.camara.leg.br/api/v2/votacoes/2257685-7,2020-08-05,2020-08-05T15:06:23,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59823,REQ 1854/2020,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2257685,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",1.0
2259408-7,https://dadosabertos.camara.leg.br/api/v2/votacoes/2259408-7,2020-08-05,2020-08-05T15:06:35,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59823,REQ 2069/2020,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2259408,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",1.0
2256893-7,https://dadosabertos.camara.leg.br/api/v2/votacoes/2256893-7,2020-08-05,2020-08-05T15:09:24,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59823,REQ 1768/2020,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2256893,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",1.0
2259190-7,https://dadosabertos.camara.leg.br/api/v2/votacoes/2259190-7,2020-08-05,2020-08-05T15:15:02,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59823,REQ 2022/2020,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2259190,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",1.0
2259340-7,https://dadosabertos.camara.leg.br/api/v2/votacoes/2259340-7,2020-08-05,2020-08-05T15:15:58,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59823,REQ 2043/2020,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2259340,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",1.0
2256571-7,https://dadosabertos.camara.leg.br/api/v2/votacoes/2256571-7,2020-08-05,2020-08-05T15:17:51,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59823,REQ 1722/2020,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2256571,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",1.0
2246359-31,https://dadosabertos.camara.leg.br/api/v2/votacoes/2246359-31,2020-08-05,2020-08-05T15:53:15,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59823,,,Aprovado o Requerimento. Sim: 244; não: 232; abstenção: 2; total: 478.,1.0
