id,uri,data,dataHoraRegistro,siglaOrgao,uriOrgao,uriEvento,proposicaoObjeto,uriProposicaoObjeto,descricao,aprovacao
1672171-100,https://dadosabertos.camara.leg.br/api/v2/votacoes/1672171-100,2022-08-01,,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,,,,"Apresentação do Voto em Separado n. 1 CCJC, pelo Deputado Fábio Trad (PSD/MS).",0.0
1672171-102,https://dadosabertos.camara.leg.br/api/v2/votacoes/1672171-102,2022-08-02,,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,,,,"Apresentação do Voto em Separado n. 2 CCJC, pelo Deputado Rodrigo de Castro (UNIÃO/MG).",0.0
1672171-103,https://dadosabertos.camara.leg.br/api/v2/votacoes/1672171-103,2022-08-29,,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,,,,"Apresentação do Voto em Separado n. 3 CCJC, pelo Deputado Fábio Trad (PSD/MS).",0.0
2206499-37,https://dadosabertos.camara.leg.br/api/v2/votacoes/2206499-37,2022-08-01,,CDE,https://dadosabertos.camara.leg.br/api/v2/orgaos/2008,,,,"Apresentação do Voto em Separado n. 1 CDEICS, pelo Deputado Alexis Fonteyne (NOVO/SP).",0.0
2151037-58,https://dadosabertos.camara.leg.br/api/v2/votacoes/2151037-58,2022-08-29,,CTRAB,https://dadosabertos.camara.leg.br/api/v2/orgaos/2015,,,,"Apresentação do Voto em Separado n. 1 CTASP, pelo Deputado Alexis Fonteyne (NOVO/SP) e outros.",0.0
1548586-109,https://dadosabertos.camara.leg.br/api/v2/votacoes/1548586-109,2022-08-30,,CVT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2016,,,,"Apresentação do Voto em Separado n. 4 CVT, pelos Deputados Hugo Leal (PSD/RJ) e Lucas Gonzalez NOVO.",0.0
2190986-40,https://dadosabertos.camara.leg.br/api/v2/votacoes/2190986-40,2022-08-30,,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,,,,"Apresentação do Voto em Separado n. 4 CMADS, pelo Deputado Jose Mario Schreiner (MDB/GO).",0.0
2332926-8,https://dadosabertos.camara.leg.br/api/v2/votacoes/2332926-8,2022-08-01,2022-08-01T18:24:21,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66262,REQ 1247/2022,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2332926,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",1.0
2332929-8,https://dadosabertos.camara.leg.br/api/v2/votacoes/2332929-8,2022-08-01,2022-08-01T18:29:13,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66262,REQ 1250/2022,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2332929,Aprovado o Requerimento de Urgência (Art. 155 do RICD).,1.0
2331805-9,https://dadosabertos.camara.leg.br/api/v2/votacoes/2331805-9,2022-08-01,2022-08-01T18:32:35,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66262,REQ 1181/2022,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2331805,Aprovado o Requerimento de Urgência (Art. 155 do RICD).,1.0
2169407-40,https://dadosabertos.camara.leg.br/api/v2/votacoes/2169407-40,2022-08-01,2022-08-01T18:32:36,SECAP(SGM),https://dadosabertos.camara.leg.br/api/v2/orgaos/100001,,,,"Realizar o encaminhamento do PL-9793/2018 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0
2169407-41,https://dadosabertos.camara.leg.br/api/v2/votacoes/2169407-41,2022-08-01,2022-08-01T18:32:36,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,,,,"Alteração do Regime de Tramitação desta proposição em virtude da alteração do regime do PL 207/2022, por ter sido aprovado o REQ 1181/2022 que está apensado ao primeiro.",1.0
2270947-99,https://dadosabertos.camara.leg.br/api/v2/votacoes/2270947-99,2022-08-01,2022-08-01T19:32:53,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66262,,,"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 610, de 2021, adotada pelo Relator da Comissão de Seguridade Social e Família, ressalvados os destaques.",1.0
2270947-105,https://dadosabertos.camara.leg.br/api/v2/votacoes/2270947-105,2022-08-01,2022-08-01T19:36:08,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66262,,,"Aprovada a Redação Final assinada pelo Relator, Dep. Igor Timo (Podemos-MG).",1.0
2332239-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2332239-2,2022-08-02,2022-08-02T09:27:18,CSPCCO,https://dadosabertos.camara.leg.br/api/v2/orgaos/5503,https://dadosabertos.camara.leg.br/api/v2/eventos/66198,REQ 35/2022 CSPCCO,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2332239,Aprovado.,1.0
2332294-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2332294-2,2022-08-02,2022-08-02T09:27:18,CSPCCO,https://dadosabertos.camara.leg.br/api/v2/orgaos/5503,https://dadosabertos.camara.leg.br/api/v2/eventos/66198,REQ 36/2022 CSPCCO,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2332294,Aprovado.,1.0
2332297-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2332297-2,2022-08-02,2022-08-02T09:27:19,CSPCCO,https://dadosabertos.camara.leg.br/api/v2/orgaos/5503,https://dadosabertos.camara.leg.br/api/v2/eventos/66198,REQ 37/2022 CSPCCO,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2332297,Aprovado.,1.0
2332923-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2332923-2,2022-08-02,2022-08-02T09:27:19,CSPCCO,https://dadosabertos.camara.leg.br/api/v2/orgaos/5503,https://dadosabertos.camara.leg.br/api/v2/eventos/66198,REQ 38/2022 CSPCCO,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2332923,Aprovado.,1.0
