id,uri,data,dataHoraRegistro,siglaOrgao,uriOrgao,uriEvento,proposicaoObjeto,uriProposicaoObjeto,descricao,aprovacao
2160737-66,https://dadosabertos.camara.leg.br/api/v2/votacoes/2160737-66,2025-10-14,,CAPADR,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,,,,"Apresentação do VTS n. 1 CAPADR (Voto em Separado), pelo Deputado Bohn Gass (PT/RS -Fdr PT-PCdoB-PV).",0
2474173-23,https://dadosabertos.camara.leg.br/api/v2/votacoes/2474173-23,2025-10-08,,CAPADR,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,,,,"Apresentação do VTS n. 1 CAPADR (Voto em Separado), pelas Deputada Célia Xakriabá (PSOL/MG -Fdr PSOL-REDE) e outros.",0
2485222-26,https://dadosabertos.camara.leg.br/api/v2/votacoes/2485222-26,2025-10-14,,CAPADR,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,,,,"Apresentação do VTS n. 1 CAPADR (Voto em Separado), pelos Deputado Pedro Uczai (PT/SC -Fdr PT-PCdoB-PV) e outros.",0
2494386-26,https://dadosabertos.camara.leg.br/api/v2/votacoes/2494386-26,2025-10-14,,CAPADR,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,,,,"Apresentação do VTS n. 1 CAPADR (Voto em Separado), pelo Deputado Bohn Gass (PT/RS -Fdr PT-PCdoB-PV).",0
2507839-24,https://dadosabertos.camara.leg.br/api/v2/votacoes/2507839-24,2025-10-22,,CAPADR,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,,,,"Apresentação do VTS n. 1 CAPADR (Voto em Separado), pelo Deputado Marcon (PT/RS -Fdr PT-PCdoB-PV).",0
2518795-21,https://dadosabertos.camara.leg.br/api/v2/votacoes/2518795-21,2025-10-01,,CAPADR,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,,,,"Apresentação do VTS n. 1 CAPADR (Voto em Separado), pela Deputada Dilvanda Faro (PT/PA -Fdr PT-PCdoB-PV).",0
2121416-88,https://dadosabertos.camara.leg.br/api/v2/votacoes/2121416-88,2025-10-21,,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,,,,"Apresentação do VTS n. 1 CCJC (Voto em Separado), pelo Deputado Patrus Ananias (PT/MG -Fdr PT-PCdoB-PV).",0
2156413-90,https://dadosabertos.camara.leg.br/api/v2/votacoes/2156413-90,2025-10-08,,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,,,,"Apresentação do VTS n. 1 CCJC (Voto em Separado), pela Deputada Rosangela Moro (UNIÃO/SP).",0
2427750-40,https://dadosabertos.camara.leg.br/api/v2/votacoes/2427750-40,2025-10-07,,CDC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2004,,,,"Apresentação do VTS n. 2 CDC (Voto em Separado), pela Deputada Gisela Simona (UNIÃO/MT).",0
2195860-74,https://dadosabertos.camara.leg.br/api/v2/votacoes/2195860-74,2025-10-17,,CDE,https://dadosabertos.camara.leg.br/api/v2/orgaos/2008,,,,"Apresentação do VTS n. 1 CDE (Voto em Separado), pelo Deputado Zé Neto (PT/BA -Fdr PT-PCdoB-PV).",0
