id,uri,data,dataHoraRegistro,siglaOrgao,uriOrgao,uriEvento,proposicaoObjeto,uriProposicaoObjeto,descricao,aprovacao
2242821-110,https://dadosabertos.camara.leg.br/api/v2/votacoes/2242821-110,2020-09-01,2020-09-01T12:48:56,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59895,,,Rejeitado o Requerimento. Sim: 217; não: 230; total: 447.,0.0
2242821-129,https://dadosabertos.camara.leg.br/api/v2/votacoes/2242821-129,2020-09-01,2020-09-01T14:30:22,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59895,,,"Aprovada a Subemenda Substitutiva Global de Plenário ao Projeto de Lei nº 1.485, de 2020, adotada pela Relatora da Comissão de Constituição e Justiça e de Cidadania, ressalvados os destaques. Sim: 421; não: 64; abstenção: 1; total: 486.",1.0
2242821-132,https://dadosabertos.camara.leg.br/api/v2/votacoes/2242821-132,2020-09-01,2020-09-01T14:30:58,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59895,,,"Aprovada a Redação Final assinada pela Relatora, Dep. Greyce Elias  (AVANTE/MG).",1.0
2251926-33,https://dadosabertos.camara.leg.br/api/v2/votacoes/2251926-33,2020-09-01,2020-09-01T16:05:56,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59896,,,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",1.0
2251926-35,https://dadosabertos.camara.leg.br/api/v2/votacoes/2251926-35,2020-09-01,2020-09-01T16:25:27,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59896,,,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",1.0
2251926-39,https://dadosabertos.camara.leg.br/api/v2/votacoes/2251926-39,2020-09-01,2020-09-01T16:43:26,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59896,,,"Aprovada a Subemenda Substitutiva Global oferecida ao Projeto de Lei de Conversão, ressalvados os destaques.",1.0
2251926-41,https://dadosabertos.camara.leg.br/api/v2/votacoes/2251926-41,2020-09-01,2020-09-01T17:02:52,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59896,,,Rejeitada a Emenda de Comissão nº 16.,0.0
2251926-45,https://dadosabertos.camara.leg.br/api/v2/votacoes/2251926-45,2020-09-01,2020-09-01T17:19:40,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59896,,,Rejeitada a Emenda de Comissão nº 49.,0.0
2251926-46,https://dadosabertos.camara.leg.br/api/v2/votacoes/2251926-46,2020-09-01,2020-09-01T17:40:47,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59896,,,Mantido o texto.,
2251926-50,https://dadosabertos.camara.leg.br/api/v2/votacoes/2251926-50,2020-09-01,2020-09-01T17:55:00,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59896,,,Rejeitada a Emenda de Comissão nº 89.,0.0
2251926-55,https://dadosabertos.camara.leg.br/api/v2/votacoes/2251926-55,2020-09-01,2020-09-01T18:12:28,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59896,,,Mantido o texto. Sim: 262; não: 121; total: 383.,
2251926-56,https://dadosabertos.camara.leg.br/api/v2/votacoes/2251926-56,2020-09-01,2020-09-01T18:20:23,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59896,,,Rejeitada a Emenda de Comissão nº 165.,0.0
2251926-61,https://dadosabertos.camara.leg.br/api/v2/votacoes/2251926-61,2020-09-01,2020-09-01T18:26:18,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59896,,,Rejeitada a Emenda de Plenário de nº 2.,0.0
2251926-64,https://dadosabertos.camara.leg.br/api/v2/votacoes/2251926-64,2020-09-01,2020-09-01T18:30:42,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59896,,,"Aprovada a Redação Final assinada pelo Relator, Dep. João Campos (Republicanos-GO).",1.0
593065-141,https://dadosabertos.camara.leg.br/api/v2/votacoes/593065-141,2020-09-01,2020-09-01T19:11:50,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59896,,,Rejeitado o Requerimento. Sim: 85; não: 224; total: 309.,0.0
593065-172,https://dadosabertos.camara.leg.br/api/v2/votacoes/593065-172,2020-09-01,2020-09-01T20:11:33,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59915,,,Rejeitado o Requerimento. Sim: 92 (computado o voto do Sr. Carlos Zarattini); não: 276 (computado o voto do Sr. Pedro Westphalen); total: 368.,0.0
593065-178,https://dadosabertos.camara.leg.br/api/v2/votacoes/593065-178,2020-09-01,2020-09-01T20:39:57,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59915,,,"Aprovado o Substitutivo ao Projeto de Lei nº 6.407, de 2013, da Comissão de Minas e Energia, ressalvados os destaques. Sim: 351; não: 101; total: 452.",1.0
593065-182,https://dadosabertos.camara.leg.br/api/v2/votacoes/593065-182,2020-09-01,2020-09-01T20:45:17,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59915,,,"Rejeitadas as Emendas de Plenário ao Substitutivo, com parecer pela rejeição.",0.0
593065-189,https://dadosabertos.camara.leg.br/api/v2/votacoes/593065-189,2020-09-01,2020-09-01T21:19:57,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59915,,,Rejeitada a Emenda de Plenário nº 2. Sim: 115; não: 355; total: 470.,0.0
593065-195,https://dadosabertos.camara.leg.br/api/v2/votacoes/593065-195,2020-09-01,2020-09-01T21:34:57,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59915,,,Rejeitada a Emenda de Plenário nº 1.,0.0
593065-199,https://dadosabertos.camara.leg.br/api/v2/votacoes/593065-199,2020-09-01,2020-09-01T21:51:41,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59915,,,Rejeitada a Emenda de Plenário nº 11.,0.0
593065-201,https://dadosabertos.camara.leg.br/api/v2/votacoes/593065-201,2020-09-01,2020-09-01T21:52:26,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59915,,,"Aprovada a Redação Final assinada pelo Relator, Dep. Laercio Oliveira (PP-SE).",1.0
2251930-33,https://dadosabertos.camara.leg.br/api/v2/votacoes/2251930-33,2020-09-01,2020-09-01T22:10:29,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59915,,,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista de Planos, Orçamentos Públicos e Fiscalização, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância, urgência e imprevisibilidade das despesas e de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 1, de 2002-CN.",1.0
2251930-35,https://dadosabertos.camara.leg.br/api/v2/votacoes/2251930-35,2020-09-01,2020-09-01T22:12:34,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59915,,,"Aprovada a Medida Provisória nº 962, de 2020.",1.0
2251930-37,https://dadosabertos.camara.leg.br/api/v2/votacoes/2251930-37,2020-09-01,2020-09-01T22:14:22,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59915,,,"Aprovada a Redação Final assinada pela Relatora, Dep. Professora Dorinha Seabra Rezende (DEM-TO).",1.0
2251976-34,https://dadosabertos.camara.leg.br/api/v2/votacoes/2251976-34,2020-09-01,2020-09-01T22:24:49,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59915,,,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista de Planos, Orçamentos Públicos e Fiscalização, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância, urgência e imprevisibilidade das despesas e de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 1, de 2002-CN.",1.0
2251976-35,https://dadosabertos.camara.leg.br/api/v2/votacoes/2251976-35,2020-09-01,2020-09-01T22:25:43,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59915,,,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista de Planos, Orçamentos Públicos e Fiscalização, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância, urgência e imprevisibilidade das despesas e de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 1, de 2002-CN.",1.0
2251976-37,https://dadosabertos.camara.leg.br/api/v2/votacoes/2251976-37,2020-09-01,2020-09-01T22:26:14,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59915,,,"Aprovada a Medida Provisória nº 963, de 2020.",1.0
2251976-39,https://dadosabertos.camara.leg.br/api/v2/votacoes/2251976-39,2020-09-01,2020-09-01T22:27:30,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59915,,,"Aprovada a Redação Final assinada pelo Relator, Dep. Vermelho (PSD-PR).",1.0
2253044-32,https://dadosabertos.camara.leg.br/api/v2/votacoes/2253044-32,2020-09-09,2020-09-09T13:27:50,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59923,,,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",1.0
2253044-33,https://dadosabertos.camara.leg.br/api/v2/votacoes/2253044-33,2020-09-09,2020-09-09T13:28:56,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/59923,,,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",1.0
