id,uri,data,dataHoraRegistro,siglaOrgao,uriOrgao,uriEvento,proposicaoObjeto,uriProposicaoObjeto,descricao,aprovacao
2285007-33,https://dadosabertos.camara.leg.br/api/v2/votacoes/2285007-33,2023-06-01,2023-06-01T11:31:35,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/68399,,,"Aprovado o Projeto de Decreto Legislativo nº 219, de 2021.",1
2285007-35,https://dadosabertos.camara.leg.br/api/v2/votacoes/2285007-35,2023-06-01,2023-06-01T11:32:17,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/68399,,,"Aprovada a Redação Final, assinada pelo Relator, Dep. Pedro Lupion (PP-PR).",1
2349947-46,https://dadosabertos.camara.leg.br/api/v2/votacoes/2349947-46,2023-06-01,2023-06-01T12:34:10,SECAP(SGM),https://dadosabertos.camara.leg.br/api/v2/orgaos/100001,,,,"Realizar o encaminhamento da MPV-1164/2023 à MPV116423 (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1
2349947-47,https://dadosabertos.camara.leg.br/api/v2/votacoes/2349947-47,2023-06-01,2023-06-01T12:34:10,SECAP(SGM),https://dadosabertos.camara.leg.br/api/v2/orgaos/100001,,,,"Realizar o encaminhamento da MPV-1164/2023 à MPV116423 (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1
2349947-48,https://dadosabertos.camara.leg.br/api/v2/votacoes/2349947-48,2023-06-01,2023-06-01T12:34:10,SECAP(SGM),https://dadosabertos.camara.leg.br/api/v2/orgaos/100001,,,,"Realizar o encaminhamento da MPV-1164/2023 à MPV116423 (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1
2349947-49,https://dadosabertos.camara.leg.br/api/v2/votacoes/2349947-49,2023-06-01,2023-06-01T12:34:10,SECAP(SGM),https://dadosabertos.camara.leg.br/api/v2/orgaos/100001,,,,"Realizar o encaminhamento da MPV-1164/2023 à MPV116423 (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1
2349947-50,https://dadosabertos.camara.leg.br/api/v2/votacoes/2349947-50,2023-06-01,2023-06-01T12:34:11,SECAP(SGM),https://dadosabertos.camara.leg.br/api/v2/orgaos/100001,,,,"Realizar o encaminhamento da MPV-1164/2023 à MPV116423 (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1
1548586-119,https://dadosabertos.camara.leg.br/api/v2/votacoes/1548586-119,2023-06-01,2023-06-01T16:07:43,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,,,,"Retirado o REQ n. 1707/2023, em razão do deferimento do Requerimento n. REQ 1778/2023, nos termos do artigo 104, caput, combinado com o artigo 114, VII, ambos do RICD.",1
2348811-12,https://dadosabertos.camara.leg.br/api/v2/votacoes/2348811-12,2023-06-01,2023-06-02T11:45:23,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,,,,Aprovado o parecer,1
2366653-3,https://dadosabertos.camara.leg.br/api/v2/votacoes/2366653-3,2023-06-06,2023-06-06T10:54:48,CVT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2016,https://dadosabertos.camara.leg.br/api/v2/eventos/68389,REQ 61/2023 CVT,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2366653,Aprovado. Subscrito pelo Deputado Vermelho.,1
2367067-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2367067-2,2023-06-06,2023-06-06T10:57:01,CVT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2016,https://dadosabertos.camara.leg.br/api/v2/eventos/68389,REQ 62/2023 CVT,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2367067,Aprovado.,1
2293793-32,https://dadosabertos.camara.leg.br/api/v2/votacoes/2293793-32,2023-06-06,2023-06-06T11:03:19,CVT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2016,https://dadosabertos.camara.leg.br/api/v2/eventos/68389,,,Aprovado o Parecer.,1
2362178-3,https://dadosabertos.camara.leg.br/api/v2/votacoes/2362178-3,2023-06-06,2023-06-06T13:31:06,CPOVOS,https://dadosabertos.camara.leg.br/api/v2/orgaos/539384,https://dadosabertos.camara.leg.br/api/v2/eventos/68428,REQ 35/2023 CPOVOS,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2362178,Aprovado.,1
2365835-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2365835-2,2023-06-06,2023-06-06T13:33:53,CPOVOS,https://dadosabertos.camara.leg.br/api/v2/orgaos/539384,https://dadosabertos.camara.leg.br/api/v2/eventos/68428,REQ 36/2023 CPOVOS,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2365835,Aprovado. Subscrito pelo Dep. Airton Faleiro (PT/PA),1
2365882-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2365882-2,2023-06-06,2023-06-06T13:36:52,CPOVOS,https://dadosabertos.camara.leg.br/api/v2/orgaos/539384,https://dadosabertos.camara.leg.br/api/v2/eventos/68428,REQ 38/2023 CPOVOS,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2365882,Aprovado. Subscrito pelo Dep. Airton Faleiro (PT/PA),1
2367487-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2367487-2,2023-06-06,2023-06-06T13:39:49,CPOVOS,https://dadosabertos.camara.leg.br/api/v2/orgaos/539384,https://dadosabertos.camara.leg.br/api/v2/eventos/68428,REQ 39/2023 CPOVOS,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2367487,Aprovado. Subscrito pelo Dep. Airton Faleiro (PA/PT),1
2367488-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2367488-2,2023-06-06,2023-06-06T13:45:49,CPOVOS,https://dadosabertos.camara.leg.br/api/v2/orgaos/539384,https://dadosabertos.camara.leg.br/api/v2/eventos/68428,REQ 40/2023 CPOVOS,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2367488,"Aprovado. Subscrito pelo Dep. Airton Faleiro (PT/PA), que solicitou a inclusão de convidados do Pará e da Amazônia para compor a mesa do evento, sendo a sugestão acatada pela autora do requerimento.",1
2367489-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2367489-2,2023-06-06,2023-06-06T13:49:58,CPOVOS,https://dadosabertos.camara.leg.br/api/v2/orgaos/539384,https://dadosabertos.camara.leg.br/api/v2/eventos/68428,,,Aprovado. Subscrito pelo Dep. Airton Faleiro (PT/PA),1
