id,uri,data,dataHoraRegistro,siglaOrgao,uriOrgao,uriEvento,proposicaoObjeto,uriProposicaoObjeto,descricao,aprovacao
2112509-58,https://dadosabertos.camara.leg.br/api/v2/votacoes/2112509-58,2021-07-06,,CCTI,https://dadosabertos.camara.leg.br/api/v2/orgaos/2002,,,,"Apresentação do Voto em Separado n. 1 CCTCI, pelo Deputado David Soares  (DEM/SP).",0
2211437-36,https://dadosabertos.camara.leg.br/api/v2/votacoes/2211437-36,2021-07-14,,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,,,,"Apresentação do Voto em Separado n. 1 CCJC, pelo Deputado Paulo Teixeira  (PT/SP).",0
2229142-53,https://dadosabertos.camara.leg.br/api/v2/votacoes/2229142-53,2021-07-13,,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,,,,"Apresentação do Voto em Separado n. 1 CCJC, pela Deputada Joenia Wapichana  (REDE/RR).",0
2260983-29,https://dadosabertos.camara.leg.br/api/v2/votacoes/2260983-29,2021-07-06,,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,,,,"Apresentação do Voto em Separado n. 1 CFT, pelo Deputado Capitão Alberto Neto  (REPUBLIC/AM).",0
2275318-25,https://dadosabertos.camara.leg.br/api/v2/votacoes/2275318-25,2021-07-12,,CVT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2016,,,,"Apresentação do Voto em Separado n. 1 CVT, pelo Deputado José Medeiros  (PODE/MT).",0
2196688-30,https://dadosabertos.camara.leg.br/api/v2/votacoes/2196688-30,2021-07-06,,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,,,,"Apresentação do Voto em Separado n. 1 CMADS, pelo Deputado José Medeiros  (PODE/MT).",0
2230960-24,https://dadosabertos.camara.leg.br/api/v2/votacoes/2230960-24,2021-07-07,,CMULHER,https://dadosabertos.camara.leg.br/api/v2/orgaos/537870,,,,"Apresentação do Voto em Separado n. 1 CMULHER, pela Deputada Chris Tonietto  (PSL/RJ).",0
2264709-26,https://dadosabertos.camara.leg.br/api/v2/votacoes/2264709-26,2021-07-06,,CSAUDE,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,,,,"Apresentação do Voto em Separado n. 1 CSSF, pela Deputada Dra. Soraya Manato  (PSL/ES).",0
559325-61,https://dadosabertos.camara.leg.br/api/v2/votacoes/559325-61,2021-07-06,,CTRAB,https://dadosabertos.camara.leg.br/api/v2/orgaos/2015,,,,"Apresentação do Voto em Separado n. 1 CTASP, pelo Deputado Tiago Mitraud  (NOVO/MG) e outros.",0
2220292-157,https://dadosabertos.camara.leg.br/api/v2/votacoes/2220292-157,2021-07-05,,PEC13519,https://dadosabertos.camara.leg.br/api/v2/orgaos/538772,,,,"Apresentação do Voto em Separado n. 1 PEC13519, pelo Deputado Arlindo Chinaglia  (PT/SP) e outros.",0
2220292-163,https://dadosabertos.camara.leg.br/api/v2/votacoes/2220292-163,2021-07-05,,PEC13519,https://dadosabertos.camara.leg.br/api/v2/orgaos/538772,,,,"Apresentação do Voto em Separado n. 2 PEC13519, pela Deputada Fernanda Melchionna  (PSOL/RS) e outros.",0
2220292-170,https://dadosabertos.camara.leg.br/api/v2/votacoes/2220292-170,2021-07-05,,PEC13519,https://dadosabertos.camara.leg.br/api/v2/orgaos/538772,,,,"Apresentação do Voto em Separado n. 3 PEC13519, pelo Deputado Pompeo de Mattos  (PDT/RS).",0
2220292-171,https://dadosabertos.camara.leg.br/api/v2/votacoes/2220292-171,2021-07-16,,PEC13519,https://dadosabertos.camara.leg.br/api/v2/orgaos/538772,,,,"Apresentação do Voto em Separado n. 4 PEC13519, pelo Deputado Paulo Ganime  (NOVO/RJ).",0
2287979-4,https://dadosabertos.camara.leg.br/api/v2/votacoes/2287979-4,2021-07-01,2021-07-01T09:38:08,CDC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2004,https://dadosabertos.camara.leg.br/api/v2/eventos/62128,REQ 37/2021 CDC,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2287979,Aprovado subscrito pelo Dep. Ricardo Izar.,1
2288072-3,https://dadosabertos.camara.leg.br/api/v2/votacoes/2288072-3,2021-07-01,2021-07-01T09:40:41,CDC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2004,https://dadosabertos.camara.leg.br/api/v2/eventos/62128,REQ 38/2021 CDC,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2288072,Aprovado.,1
2239465-26,https://dadosabertos.camara.leg.br/api/v2/votacoes/2239465-26,2021-07-01,2021-07-01T09:45:39,CDC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2004,https://dadosabertos.camara.leg.br/api/v2/eventos/62128,,,Aprovado o Parecer.,1
2288542-3,https://dadosabertos.camara.leg.br/api/v2/votacoes/2288542-3,2021-07-01,2021-07-01T09:47:00,CMULHER,https://dadosabertos.camara.leg.br/api/v2/orgaos/537870,https://dadosabertos.camara.leg.br/api/v2/eventos/62121,REQ 22/2021 CMULHER,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2288542,Aprovado.,1
2288613-3,https://dadosabertos.camara.leg.br/api/v2/votacoes/2288613-3,2021-07-01,2021-07-01T09:47:12,CMULHER,https://dadosabertos.camara.leg.br/api/v2/orgaos/537870,https://dadosabertos.camara.leg.br/api/v2/eventos/62121,REQ 23/2021 CMULHER,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2288613,Aprovado.,1
2242236-38,https://dadosabertos.camara.leg.br/api/v2/votacoes/2242236-38,2021-07-01,2021-07-01T09:48:33,CIDOSO,https://dadosabertos.camara.leg.br/api/v2/orgaos/537871,https://dadosabertos.camara.leg.br/api/v2/eventos/61406,,,Aprovado o Parecer do Relator Deputado Fábio Trad (PSD-MS).,1
2288521-3,https://dadosabertos.camara.leg.br/api/v2/votacoes/2288521-3,2021-07-01,2021-07-01T09:57:06,CTUR,https://dadosabertos.camara.leg.br/api/v2/orgaos/6066,https://dadosabertos.camara.leg.br/api/v2/eventos/62126,REQ 51/2021 CTUR,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2288521,"Aprovado, com a conversão de convocação para convite e com sugestão de audiência conjunta com a Comissão de Fiscalização Financeira e Controle, Comissão de Finanças e Tribiutação e Comissão de Seguridade Social e Família.",1
2265447-24,https://dadosabertos.camara.leg.br/api/v2/votacoes/2265447-24,2021-07-01,2021-07-01T09:59:48,CDC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2004,https://dadosabertos.camara.leg.br/api/v2/eventos/62128,,,Aprovado o Parecer.,1
2253868-27,https://dadosabertos.camara.leg.br/api/v2/votacoes/2253868-27,2021-07-01,2021-07-01T10:02:45,CIDOSO,https://dadosabertos.camara.leg.br/api/v2/orgaos/537871,https://dadosabertos.camara.leg.br/api/v2/eventos/61406,,,Aprovado o Parecer do Relator Deputado Vilson da Fetaemg (PSB-MG).,1
2193160-28,https://dadosabertos.camara.leg.br/api/v2/votacoes/2193160-28,2021-07-01,2021-07-01T10:09:30,CMULHER,https://dadosabertos.camara.leg.br/api/v2/orgaos/537870,https://dadosabertos.camara.leg.br/api/v2/eventos/62121,,,Aprovado o Parecer.,1
2139046-97,https://dadosabertos.camara.leg.br/api/v2/votacoes/2139046-97,2021-07-01,2021-07-01T10:22:25,CMULHER,https://dadosabertos.camara.leg.br/api/v2/orgaos/537870,https://dadosabertos.camara.leg.br/api/v2/eventos/62121,,,Aprovado o Parecer.,1
2263757-19,https://dadosabertos.camara.leg.br/api/v2/votacoes/2263757-19,2021-07-01,2021-07-01T10:27:11,CMULHER,https://dadosabertos.camara.leg.br/api/v2/orgaos/537870,https://dadosabertos.camara.leg.br/api/v2/eventos/62121,,,Aprovado o Parecer.,1
2183013-42,https://dadosabertos.camara.leg.br/api/v2/votacoes/2183013-42,2021-07-01,2021-07-01T11:18:30,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,https://dadosabertos.camara.leg.br/api/v2/eventos/62125,,,Aprovado o Parecer.,1
2199362-39,https://dadosabertos.camara.leg.br/api/v2/votacoes/2199362-39,2021-07-01,2021-07-01T11:21:09,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,https://dadosabertos.camara.leg.br/api/v2/eventos/62125,,,Aprovado o Parecer.,1
2193438-75,https://dadosabertos.camara.leg.br/api/v2/votacoes/2193438-75,2021-07-01,2021-07-01T11:25:05,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,https://dadosabertos.camara.leg.br/api/v2/eventos/62125,,,Aprovado o Parecer.,1
2190730-67,https://dadosabertos.camara.leg.br/api/v2/votacoes/2190730-67,2021-07-01,2021-07-01T12:11:50,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/62204,,,"Aprovado o Substitutivo ao Projeto de Lei nº 226, de 2019, adotado pela Relatora da Comissão Especial. Sim: 348; não: 8; total: 356.",1
2190730-69,https://dadosabertos.camara.leg.br/api/v2/votacoes/2190730-69,2021-07-01,2021-07-01T12:31:42,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/62204,,,"Aprovada a Redação Final assinada pela Relatora, Dep. Daniela do Waguinho (MDB-RJ).",1
2263290-48,https://dadosabertos.camara.leg.br/api/v2/votacoes/2263290-48,2021-07-01,2021-07-01T12:33:55,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/62204,,,"Aprovado o Projeto de Lei nº 4.710, de 2020. Sim: 379; não: 1; total: 380.",1
