id_evento,id_deputado,tipo_presenca,ano_origem
58552,69871,,2020
58552,73466,,2020
58552,73696,,2020
58552,74057,,2020
58552,74200,,2020
58552,74459,,2020
58552,81297,,2020
58552,141523,,2020
58552,143084,,2020
58552,160592,,2020
58552,160639,,2020
58552,160642,,2020
58552,178842,,2020
58552,178912,,2020
58552,178925,,2020
58552,178927,,2020
58552,178956,,2020
58552,198783,,2020
58552,204357,,2020
58552,204363,,2020
58552,204371,,2020
58552,204375,,2020
58552,204377,,2020
58552,204383,,2020
58552,204390,,2020
58552,204418,,2020
58552,204425,,2020
58552,204433,,2020
58552,204453,,2020
58552,204459,,2020
58552,204462,,2020
58552,204467,,2020
58552,204480,,2020
58552,204484,,2020
58552,204501,,2020
58552,204525,,2020
58552,204528,,2020
58552,204533,,2020
58552,204534,,2020
58552,204535,,2020
58552,204540,,2020
58552,204552,,2020
58552,204557,,2020
58552,204565,,2020
59129,68720,,2020
59129,69871,,2020
59129,73696,,2020
59129,74057,,2020
59129,74459,,2020
59129,141488,,2020
59129,160587,,2020
59129,178931,,2020
59129,178951,,2020
59129,178969,,2020
59129,178972,,2020
59129,204361,,2020
59129,204381,,2020
59129,204412,,2020
59129,204433,,2020
59129,204448,,2020
59129,204453,,2020
59129,204500,,2020
59129,204501,,2020
59129,204507,,2020
59129,204519,,2020
59129,204532,,2020
59129,204548,,2020
59129,204552,,2020
59186,73943,,2020
59186,74398,,2020
59186,108338,,2020
59186,178925,,2020
59186,178946,,2020
59186,204353,,2020
59186,204354,,2020
59186,204357,,2020
59186,204380,,2020
59186,204430,,2020
59186,204462,,2020
59186,204464,,2020
59186,204471,,2020
59186,204525,,2020
59186,204535,,2020
59186,204552,,2020
59216,74299,,2020
59216,143084,,2020
59216,160598,,2020
59216,178843,,2020
59216,178874,,2020
59216,191923,,2020
59216,204353,,2020
59216,204377,,2020
59216,204381,,2020
59216,204400,,2020
59216,204550,,2020
59227,73486,,2020
59227,74161,,2020
59227,74317,,2020
59227,81055,,2020
59227,90201,,2020
59227,109429,,2020
59227,160598,,2020
59227,160604,,2020
59227,178884,,2020
59227,178981,,2020
59227,204351,,2020
59227,204358,,2020
59227,204363,,2020
59227,204399,,2020
59227,204406,,2020
59227,204418,,2020
59227,204436,,2020
59227,204468,,2020
59227,204487,,2020
59227,204524,,2020
59227,204541,,2020
59227,204552,,2020
59227,204559,,2020
59227,204575,,2020
59236,68720,,2020
59236,69871,,2020
59236,74057,,2020
59236,92102,,2020
59236,150418,,2020
59236,160600,,2020
59236,178863,,2020
59236,178970,,2020
59236,178981,,2020
59236,204380,,2020
59236,204394,,2020
59236,204422,,2020
59236,204429,,2020
59236,204436,,2020
59236,204468,,2020
59236,204530,,2020
59236,204541,,2020
59236,204542,,2020
59236,204548,,2020
59236,204552,,2020
59236,204561,,2020
59236,204567,,2020
59236,204575,,2020
59236,209189,,2020
59249,178874,,2020
59249,206231,,2020
59253,68720,,2020
59253,81055,,2020
59253,141450,,2020
59253,177282,,2020
59253,178881,,2020
59253,178884,,2020
59253,204359,,2020
59253,204369,,2020
59253,204373,,2020
59253,204381,,2020
59253,204416,,2020
59253,204421,,2020
59253,204461,,2020
59253,204468,,2020
59253,204487,,2020
59253,204490,,2020
59253,204512,,2020
59253,204529,,2020
59253,204531,,2020
59253,204541,,2020
59253,204548,,2020
59253,204569,,2020
59253,204572,,2020
59254,73482,,2020
59254,73486,,2020
59254,73586,,2020
59254,74262,,2020
59254,74270,,2020
59254,74471,,2020
59254,98057,,2020
59254,116379,,2020
59254,133810,,2020
59254,133968,,2020
59254,141405,,2020
59254,141470,,2020
59254,141488,,2020
59254,160587,,2020
59254,160600,,2020
59254,160642,,2020
59254,160758,,2020
59254,171619,,2020
59254,178884,,2020
59254,178910,,2020
59254,178956,,2020
59254,178972,,2020
59254,178981,,2020
59254,178987,,2020
59254,204365,,2020
59254,204369,,2020
59254,204374,,2020
59254,204375,,2020
59254,204391,,2020
59254,204395,,2020
59254,204399,,2020
59254,204404,,2020
59254,204409,,2020
59254,204451,,2020
59254,204453,,2020
59254,204461,,2020
59254,204471,,2020
59254,204477,,2020
59254,204484,,2020
59254,204497,,2020
59254,204512,,2020
59254,204514,,2020
59254,204528,,2020
59254,204537,,2020
59254,204556,,2020
59254,204569,,2020
59254,204570,,2020
59254,204572,,2020
59254,205535,,2020
59254,207309,,2020
59254,212504,,2020
59256,73891,,2020
59256,204392,,2020
59256,204484,,2020
59256,204552,,2020
59258,73696,,2020
59258,73891,,2020
59258,204484,,2020
59258,204552,,2020
59259,204392,,2020
59259,204552,,2020
59260,73696,,2020
59260,178993,,2020
59260,204392,,2020
59260,204484,,2020
59260,204552,,2020
59261,73696,,2020
59261,204376,,2020
59261,204392,,2020
59261,204484,,2020
59263,74299,,2020
59263,160598,,2020
59263,160665,,2020
59263,178871,,2020
59263,178874,,2020
59263,191923,,2020
59263,204359,,2020
59263,204377,,2020
59263,204400,,2020
59263,204487,,2020
59263,204523,,2020
59265,66179,,2020
59265,66828,,2020
59265,67138,,2020
59265,68720,,2020
59265,69871,,2020
59265,72442,,2020
59265,73433,,2020
59265,73441,,2020
59265,73460,,2020
59265,73466,,2020
59265,73482,,2020
59265,73486,,2020
59265,73531,,2020
59265,73586,,2020
59265,73604,,2020
59265,73696,,2020
59265,73701,,2020
59265,73772,,2020
59265,73788,,2020
59265,73801,,2020
59265,73808,,2020
59265,73891,,2020
59265,73943,,2020
59265,74043,,2020
59265,74052,,2020
59265,74057,,2020
59265,74060,,2020
59265,74075,,2020
59265,74079,,2020
59265,74156,,2020
59265,74158,,2020
59265,74159,,2020
59265,74160,,2020
59265,74161,,2020
59265,74200,,2020
59265,74262,,2020
