id_deputado,deputado,presencas,sessoes_total,votacoes_participadas,taxa_votacao
179000,Marcelo Álvaro Antônio,235,392,1005,0.16674962667994028
179001,Márcio Biolchi,346,392,1703,0.28256180520988883
179587,,216,392,1322,0.21934627509540403
180018,,1,392,4,0.000663680106188817
180214,Pastor Diniz,110,392,437,0.07250705160112826
182146,,14,392,83,0.013771362203417953
188097,Merlong Solano,290,392,1586,0.26314916210386596
191923,Flávio Nogueira,348,392,2305,0.3824456611913058
191945,,9,392,25,0.004148000663680106
193726,,232,392,1362,0.22598307615729218
194260,,206,392,1182,0.19611747137879543
195866,,185,392,956,0.15861954537912726
196358,,227,392,1283,0.21287539406006306
197438,,191,392,972,0.16127426580388252
198197,Greyce Elias,289,392,1590,0.26381284221005474
198783,Emanuel Pinheiro Neto,336,392,1802,0.29898788783806207
204011,,1,392,4,0.000663680106188817
204351,Dr. Luiz Ovando,351,392,1938,0.3215530114484818
204352,,227,392,1374,0.22797411647585863
204353,,227,392,1339,0.22216691554670648
204354,,170,392,1057,0.1753774680603949
204355,Da Vitoria,344,392,1730,0.28704164592666337
204356,Amaro Neto,357,392,1804,0.29931972789115646
204357,,230,392,1259,0.20889331342293016
204358,Beto Pereira,329,392,1748,0.29002820640451304
204359,,225,392,1515,0.25136884021901446
204360,Silvia Cristina,353,392,2102,0.34876389580222333
204361,,299,392,1711,0.28388916542226644
204362,Ricardo Guidi,309,392,1532,0.2541894806703169
204363,,215,392,1249,0.2072341131574581
204364,Eli Borges,310,392,1712,0.2840550854488137
204365,Gilson Marques,355,392,2159,0.35822133731541395
204366,,233,392,1482,0.2458934793429567
204367,Daniel Freitas,342,392,1753,0.290857806537249
204368,Fabio Schiochet,336,392,1703,0.28256180520988883
204369,Caroline de Toni,347,392,2432,0.4035175045628007
204370,,224,392,1236,0.20507715281234445
204371,,221,392,1501,0.2490459598473536
204372,Julio Cesar Ribeiro,313,392,1758,0.29168740666998505
204373,,234,392,1381,0.22913555666168905
204374,Bia Kicis,350,392,2222,0.36867429898788784
204375,,216,392,1287,0.21353907416625187
204376,,237,392,1393,0.2311265969802555
204377,,226,392,1617,0.2682926829268293
204378,Coronel Chrisóstomo,350,392,2081,0.345279575244732
204379,Acácio Favacho,301,392,1775,0.29450804712128753
204380,,144,392,730,0.1211216193794591
204381,,236,392,1589,0.26364692218350755
204382,,211,392,1304,0.21635971461755435
204383,,230,392,1384,0.22963331674133067
204384,,68,392,525,0.08710801393728224
204385,,191,392,1108,0.1838393894143023
204386,,231,392,1296,0.2150323544051767
204387,Sargento Fahur,361,392,2029,0.33665173386427744
204388,Bibo Nunes,352,392,1846,0.30628836900613904
204389,,232,392,1471,0.24406835905093746
204390,Professor Alcides,343,392,1971,0.3270283723245396
204391,José Nelto,325,392,1860,0.3086112493777999
204392,,226,392,1390,0.2306288369006139
204393,,223,392,1290,0.21403683424589348
204394,Gervásio Maia,353,392,2111,0.35025717604114814
204395,Pedro Lupion,326,392,1989,0.33001493280238925
204396,Vermelho,332,392,1759,0.29185332669653224
204397,,149,392,892,0.1480006636801062
204398,Felipe Francischini,338,392,2231,0.37016757922681265
204399,,123,392,795,0.13190642110502737
204400,,233,392,1418,0.23527459764393563
204403,,207,392,1183,0.19628339140534262
204404,Lucas Redecker,349,392,2474,0.4104861456777833
204405,,231,392,1715,0.2845528455284553
204406,Pedro Westphalen,346,392,1959,0.3250373320059731
204407,Fernanda Melchionna,336,392,2284,0.3789613406338145
204408,Gustinho Ribeiro,330,392,1709,0.28355732536917205
204409,Daniel Trzeciak,351,392,1809,0.3001493280238925
204410,Luisa Canziani,330,392,1981,0.32868757259001163
204411,Filipe Barros,313,392,1589,0.26364692218350755
204412,Dr. Zacharias Calil,347,392,2119,0.3515845362535258
204413,,220,392,1439,0.23875891820142692
204414,,226,392,1280,0.21237763398042145
204415,,222,392,1439,0.23875891820142692
204416,Sanderson,348,392,2191,0.3635307781649245
204418,,231,392,1539,0.25535092085614736
204419,,322,392,1691,0.2805707648913224
204420,,224,392,1283,0.21287539406006306
204421,,156,392,850,0.14103202256512362
204422,Ossesio Silva,316,392,1832,0.3039654886344782
204423,André Ferreira,306,392,1515,0.25136884021901446
204425,,242,392,1490,0.24722083955533433
204426,Carlos Veras,349,392,2176,0.3610419777667164
204427,Fernando Rodolfo,329,392,1801,0.2988219678115149
204428,,211,392,1209,0.20059731209556994
204429,,110,392,763,0.12659698025551683
204430,,228,392,1374,0.22797411647585863
204431,Marcos Aurélio Sampaio,333,392,1649,0.2736021237763398
204432,,234,392,1356,0.22498755599800896
204433,,172,392,1074,0.17819810851169737
204434,,216,392,1292,0.2143686742989879
204435,,212,392,1289,0.2138709142193463
204436,Isnaldo Bulhões Jr.,269,392,1407,0.23344947735191637
204437,,219,392,1308,0.21702339472374316
204438,,203,392,1244,0.2064045130247221
204439,,220,392,1352,0.22432387589182015
204440,,230,392,1421,0.23577235772357724
204441,Otoni de Paula,337,392,1882,0.3122614899618384
204442,,229,392,1322,0.21934627509540403
204444,Helio Lopes,343,392,1837,0.30479508876721423
204445,Fernando Mineiro,123,392,636,0.1055251368840219
204446,,226,392,1373,0.22780819644931144
204447,,146,392,923,0.15314418450306952
204448,Luiz Antonio Corrêa,258,392,1316,0.2183507549361208
204449,Nelson Barbudo,268,392,1505,0.2497096399535424
204450,Doutor Luizinho,252,392,1573,0.26099220175875226
204451,,233,392,1472,0.24423427907748466
204452,,227,392,1516,0.25153476024556165
204453,Natália Bonavides,348,392,1877,0.31143188982910236
204454,,174,392,1163,0.19296499087439853
204455,Luiz Lima,359,392,2191,0.3635307781649245
204456,Gutemberg Reis,336,392,1741,0.28886676621868257
204457,Juninho do Pneu,325,392,1706,0.28305956528953047
204458,,212,392,1262,0.20939107350257177
204459,Daniela do Waguinho,302,392,1701,0.28222996515679444
204460,Carlos Jordy,328,392,2054,0.34079973452795753
204461,,230,392,1448,0.24025219844035176
204462,Chris Tonietto,301,392,2220,0.36834245893479345
204463,,103,392,726,0.12045793927327028
204464,Talíria Petrone,245,392,1277,0.21187987390077984
204465,,192,392,1111,0.18433714949394392
204466,,208,392,1322,0.21934627509540403
204467,,230,392,1376,0.22830595652895305
204468,,229,392,1567,0.25999668159946904
