id_deputado,qtd_presencas,total_sessoes,taxa_presenca,id,nome,siglaPartido,siglaUf,deputado
204574.0,235,392,0.5994897959183674,204574.0,Junior Lourenço,PL,MA,Junior Lourenço (PL/MA)
204575.0,220,392,0.5612244897959183,,,,,
204576.0,156,392,0.3979591836734694,,,,,
205476.0,346,392,0.8826530612244898,205476.0,Charles Fernandes,PSD,BA,Charles Fernandes (PSD/BA)
205535.0,74,392,0.18877551020408162,,,,,
205548.0,199,392,0.5076530612244898,,,,,
205550.0,348,392,0.8877551020408163,205550.0,Jorge Braz,REPUBLICANOS,RJ,Jorge Braz (REPUBLICANOS/RJ)
205863.0,175,392,0.44642857142857145,,,,,
205865.0,257,392,0.6556122448979592,205865.0,Reinhold Stephanes,PSD,PR,Reinhold Stephanes (PSD/PR)
206018.0,108,392,0.2755102040816326,206018.0,Célia Xakriabá,PSOL,MG,Célia Xakriabá (PSOL/MG)
206231.0,186,392,0.4744897959183674,,,,,
207176.0,190,392,0.4846938775510204,,,,,
207309.0,100,392,0.25510204081632654,,,,,
208297.0,15,392,0.03826530612244898,,,,,
209189.0,338,392,0.8622448979591837,209189.0,Joseildo Ramos,PT,BA,Joseildo Ramos (PT/BA)
209787.0,118,392,0.3010204081632653,209787.0,Nikolas Ferreira,PL,MG,Nikolas Ferreira (PL/MG)
210989.0,107,392,0.2729591836734694,210989.0,Bruno Farias,AVANTE,MG,Bruno Farias (AVANTE/MG)
211498.0,1,392,0.002551020408163265,,,,,
211866.0,14,392,0.03571428571428571,,,,,
212504.0,11,392,0.02806122448979592,,,,,
212625.0,64,392,0.16326530612244897,,,,,
212749.0,91,392,0.23214285714285715,,,,,
213274.0,275,392,0.701530612244898,,,,,
213679.0,43,392,0.1096938775510204,,,,,
213762.0,217,392,0.5535714285714286,213762.0,Carla Dickson,UNIÃO,RN,Carla Dickson (UNIÃO/RN)
213854.0,30,392,0.07653061224489796,,,,,
213856.0,31,392,0.07908163265306123,,,,,
214445.0,28,392,0.07142857142857142,,,,,
214477.0,44,392,0.11224489795918367,,,,,
214694.0,135,392,0.34438775510204084,214694.0,Jorge Goetten,REPUBLICANOS,SC,Jorge Goetten (REPUBLICANOS/SC)
214865.0,16,392,0.04081632653061224,,,,,
215042.0,110,392,0.28061224489795916,,,,,
215043.0,221,392,0.5637755102040817,215043.0,Josivaldo JP,PSD,MA,Josivaldo JP (PSD/MA)
215044.0,114,392,0.29081632653061223,,,,,
215045.0,97,392,0.24744897959183673,,,,,
215361.0,2,392,0.00510204081632653,,,,,
216198.0,8,392,0.02040816326530612,,,,,
216313.0,9,392,0.02295918367346939,,,,,
216544.0,45,392,0.11479591836734694,,,,,
216545.0,11,392,0.02806122448979592,,,,,
217036.0,15,392,0.03826530612244898,,,,,
217330.0,39,392,0.09948979591836735,,,,,
217480.0,93,392,0.2372448979591837,,,,,
218086.0,105,392,0.26785714285714285,218086.0,Ely Santos,REPUBLICANOS,SP,Ely Santos (REPUBLICANOS/SP)
218245.0,33,392,0.08418367346938775,,,,,
218741.0,20,392,0.05102040816326531,,,,,
218879.0,27,392,0.06887755102040816,,,,,
219568.0,11,392,0.02806122448979592,,,,,
219585.0,102,392,0.2602040816326531,,,,,
219592.0,11,392,0.02806122448979592,,,,,
219599.0,11,392,0.02806122448979592,,,,,
219920.0,1,392,0.002551020408163265,,,,,
220008.0,29,392,0.07397959183673469,,,,,
220526.0,111,392,0.28316326530612246,220526.0,Gilvan da Federal,PL,ES,Gilvan da Federal (PL/ES)
220527.0,124,392,0.3163265306122449,220527.0,Jack Rocha,PT,ES,Jack Rocha (PT/ES)
220528.0,112,392,0.2857142857142857,220528.0,Dr. Victor Linhalis,PODE,ES,Dr. Victor Linhalis (PODE/ES)
220529.0,124,392,0.3163265306122449,220529.0,Gilson Daniel,PODE,ES,Gilson Daniel (PODE/ES)
220530.0,123,392,0.3137755102040816,220530.0,Messias Donato,REPUBLICANOS,ES,Messias Donato (REPUBLICANOS/ES)
220531.0,109,392,0.2780612244897959,,,,,
220532.0,119,392,0.30357142857142855,220532.0,Rafael Prudente,MDB,DF,Rafael Prudente (MDB/DF)
220533.0,118,392,0.3010204081632653,220533.0,Prof. Reginaldo Veras,PV,DF,Prof. Reginaldo Veras (PV/DF)
220534.0,123,392,0.3137755102040816,220534.0,Fred Linhares,REPUBLICANOS,DF,Fred Linhares (REPUBLICANOS/DF)
220536.0,115,392,0.29336734693877553,220536.0,Zé Haroldo Cathedral,PSD,RR,Zé Haroldo Cathedral (PSD/RR)
220537.0,100,392,0.25510204081632654,220537.0,Helena Lima,MDB,RR,Helena Lima (MDB/RR)
220538.0,113,392,0.288265306122449,220538.0,Albuquerque,REPUBLICANOS,RR,Albuquerque (REPUBLICANOS/RR)
220539.0,113,392,0.288265306122449,220539.0,Defensor Stélio Dener,REPUBLICANOS,RR,Defensor Stélio Dener (REPUBLICANOS/RR)
220540.0,112,392,0.2857142857142857,220540.0,Duda Ramos,MDB,RR,Duda Ramos (MDB/RR)
